no,item_name,item_price,purchase_date
18,Scarf,98,01/01/2024
28,Plush Toy,105,01/01/2024
46,Sunglasses Holder,20,01/01/2024
54,Coasters,35,01/01/2024
93,Basket,119,01/01/2024
114,Desk Drawer Organizer Tray,124,01/01/2024
5,Candle,13,02/01/2024
30,Shower Curtain,98,02/01/2024
66,Plant Stand,112,02/01/2024
94,Desk Clock,112,02/01/2024
158,Laptop Sleeve,68,02/01/2024
172,Wireless Keyboard,99,02/01/2024
102,Desk Lamp Stand,111,03/01/2024
126,Bluetooth Headphones,88,03/01/2024
149,Desk Organizer Set,105,03/01/2024
159,Desk Clock,17,03/01/2024
23,Keychain,5,04/01/2024
83,Desk Fan,44,04/01/2024
32,Toaster,47,05/01/2024
35,Stuffed Animal,133,05/01/2024
110,Desk Fan Stand,100,05/01/2024
155,Desk Lamp,146,05/01/2024
156,Bookends,32,05/01/2024
24,Printer,123,06/01/2024
36,Desk Lamp,27,06/01/2024
45,Desk Organizer,124,06/01/2024
69,Clock Radio,140,06/01/2024
165,Desk Lamp,75,06/01/2024
85,Smartwatch,99,07/01/2024
96,Floor Lamp,75,07/01/2024
115,Desk Drawer Lock,83,07/01/2024
119,Coffee Maker,83,07/01/2024
132,Desk Organizer Set,121,07/01/2024
133,Wireless Mouse,109,07/01/2024
2,Chair,28,08/01/2024
55,TV Stand,120,08/01/2024
88,Desk Lampshade,43,08/01/2024
150,Desk Tray,56,08/01/2024
7,Backpack,122,09/01/2024
19,Mirror,46,09/01/2024
153,Notebook,32,09/01/2024
6,Laptop,137,10/01/2024
13,Blanket,103,10/01/2024
41,Bluetooth Speaker,93,10/01/2024
47,Vase,146,10/01/2024
157,Desk Chair,69,10/01/2024
53,Back Scratcher,45,11/01/2024
103,Coat Stand,147,11/01/2024
116,Desk Drawer Organizer Set,141,11/01/2024
120,Bookshelf,141,11/01/2024
160,Drawer Organizer,109,11/01/2024
1,Book,33,12/01/2024
31,Toothbrush,114,12/01/2024
38,Tablecloth,30,12/01/2024
39,Wall Art,7,12/01/2024
90,Art Supplies,27,12/01/2024
169,Candle Holder,136,12/01/2024
8,Clock,39,13/01/2024
22,Table Lamp,52,13/01/2024
37,Plant Pot,26,13/01/2024
72,Wall Shelf,95,13/01/2024
74,Letter Opener,73,13/01/2024
78,Desk Accessories,110,13/01/2024
87,Desk Tray,63,13/01/2024
124,Desk Lamp,149,13/01/2024
152,Pen Holder,39,13/01/2024
43,Chess Set,127,14/01/2024
44,Mouse,7,14/01/2024
63,USB Hub,66,14/01/2024
105,Drawer Pulls,49,14/01/2024
106,Desk Shelf,54,14/01/2024
14,Coffee Mug,95,15/01/2024
17,Alarm Clock,125,15/01/2024
33,Teapot,101,15/01/2024
48,Back Massager,50,15/01/2024
49,Lampshade,114,15/01/2024
100,Magnetic Board,95,15/01/2024
129,Laptop Stand,9,15/01/2024
40,Pillow,60,16/01/2024
61,Neck Pillow,71,16/01/2024
125,Speaker System,138,16/01/2024
162,Desk Organizer,72,16/01/2024
10,Artwork,135,17/01/2024
27,Wall Clock,131,17/01/2024
65,Throw Blanket,45,17/01/2024
81,Candlestick Holder,13,17/01/2024
84,Coat Hangers,67,17/01/2024
98,Drawer Liners,46,17/01/2024
141,Ceramic Mug Set,111,17/01/2024
148,Plant Pot,48,17/01/2024
166,Wall Art,80,17/01/2024
3,Plant,49,18/01/2024
29,Curtains,81,18/01/2024
50,Wireless Charger,102,18/01/2024
73,Drawer Dividers,128,18/01/2024
79,Chair Cushion,25,18/01/2024
91,Shredder,85,18/01/2024
99,Notebook Stand,142,18/01/2024
128,Coasters Set,38,18/01/2024
137,Desk Calendar,91,18/01/2024
138,Desk Organizer,144,18/01/2024
51,Air Purifier,42,19/01/2024
101,Desk Chair Cover,123,19/01/2024
109,Desk Drawer,102,19/01/2024
143,Basket,40,19/01/2024
163,Shelf,47,19/01/2024
52,Pen Holder,8,20/01/2024
56,Bean Bag,18,20/01/2024
64,Candle Holder,27,20/01/2024
68,Photo Frame,17,20/01/2024
130,Art Print,13,20/01/2024
135,Desk Fan,98,20/01/2024
147,Table Lamp,74,20/01/2024
154,Wall Art,34,20/01/2024
164,Sofa,49,20/01/2024
171,Chair Mat,10,20/01/2024
9,Sunglasses,47,21/01/2024
75,Desk Mat,20,21/01/2024
112,Desk Drawer Dividers,113,21/01/2024
123,Wall Mirror,147,21/01/2024
